,track_name,track_id,artists,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
13,"PAROLA - feat. Lazza, Emis Killa",4XxQOwmNM0DF3bKafSJBNw,"['Giaime', 'Lazza', 'Emis Killa', 'Andry The Hitmaker']","['3sC3sCpqSYClSdKez9Rs6k', '0jdNdfi4vAuVi7a6cPDFBM', '6FtwCmLY6L1sqvjaQ2lV6G', '6hb3ftxbKAFsOiNCdFbyzJ']",0.722,0.747,4,-7.028,0,0.0792,0.311,0.000821,0.112,0.477,164.092,203415,4
14,Torna da me,5TOqc7YCrGjsmO4hy3neXD,"['MRK', 'Franki Lampa']","['0bHjU6c4WFt33rMEySuj2a', '3uWHhHmjyPqvLUGexzZCFg']",0.726,0.577,0,-8.154,1,0.198,0.541,0.000363,0.34,0.274,171.923,171096,4
15,Beats Per Minute,50iPuXcyAfX9lwJ2aTNJYw,['Sei Once'],['1nNcHZgOU4K2Sl3lesfUq7'],0.722,0.656,4,-8.484,0,0.0837,0.0652,0.0,0.3,0.112,100.001,217200,4
16,Stanotte,288nTJRfZLufKIKpxRD8l0,['Ferrax'],['0vYK8RTyB5pk3GJ3rU4kIg'],0.592,0.71,4,-5.259,0,0.105,0.254,0.0,0.188,0.48,145.88,173596,4
17,Pioggia per favore,3rOFbgnORGCwvoLAuwEeXv,['Andrea Lupi'],['4Xozzb3v5veMM24RF58Tum'],0.502,0.519,10,-5.334,1,0.028,0.128,0.0,0.141,0.336,73.999,197838,4
18,Le cose non dette,2CwJobROXhpGugpcg4ngEa,"['Zak Munir', 'CCC']","['63y9DVD7EoL7xfq3PIq8r2', '3fes15sjrkoHQHFKeD8905']",0.733,0.762,0,-5.634,1,0.0399,0.341,0.00302,0.117,0.624,144.849,122110,4
19,Penso a te prod.by Ado,1v5QO5U369UeWscsxa5rBQ,['D4ma'],['5N9UTayfzouf2Izm0mq5kq'],0.781,0.289,7,-12.075,1,0.0519,0.499,0.00103,0.115,0.677,95.007,165968,4
20,Vieni con me,6YlqFoFxlEDT6cK5qbPHu2,['Leonardo Mucciante'],['1au8MFO1bzk8hWSZb0QXc4'],0.542,0.482,2,-8.916,1,0.0249,0.105,0.0,0.119,0.195,82.008,292500,4
21,Disegna Un Cielo,4wg8u7CtKPAHgtuCS1YyRM,['Lorenz Simonetti'],['7IByYZwIbgErKyx1GSwMNg'],0.425,0.315,4,-10.459,0,0.0331,0.806,0.0,0.176,0.326,139.514,191883,4
22,Via (Runnin' Away),5Oj5tTewBBOdJNsCvPqQMa,['Anita Cane Violins'],['4o0yqv6vXY7VZiHXFhCBhP'],0.624,0.716,10,-9.682,0,0.113,0.533,0.00867,0.169,0.143,90.0,248667,4
23,Tu Settembre,0XLBzxjfC58PAwP4CCjbye,['Dandi'],['1k4cfbBRljIWLy4e5oOagn'],0.497,0.844,0,-9.216,1,0.309,0.588,0.00557,0.259,0.341,170.012,170000,4
24,Quale Blocco,6a5pGMp6Rg5yqseVNF4IKx,"['THG', 'IMER', 'IAVA']","['3duRzGc9dx6Y0sdC7FkjZS', '2OHsU3uxfQovwDQQwHJt87', '7FTOKRyMWBlMoZLnjqrcs7']",0.74,0.5,6,-12.192,0,0.209,0.259,0.0,0.0912,0.595,132.99,195338,3
25,No Piazza,22WjQ5NirVeSeMp8Uy1cm5,['Frisk'],['3oD6YXMEFAmXjYLxQUu74Q'],0.809,0.775,0,-6.857,0,0.314,0.642,0.0,0.821,0.716,129.917,128025,4
26,SLATT (feat. Capo Plaza),1YvhcTM8aIRTg03AavA2HJ,"['Rondodasosa', 'Capo Plaza']","['61bQ4nwIioR8w6PGxzpyY3', '5SulO4l40qDuV9zUGLZx7n']",0.778,0.488,1,-5.361,1,0.0489,0.0719,0.0,0.0935,0.457,133.052,217444,4
27,Equilibrio,21C7Z4IViX1yRIJAalXUvz,"['G ROSE', 'Santos']","['05B2KAUqGUkel9r0gEoLAU', '2IajXj33lyPr3my8ecqa8Z']",0.664,0.509,11,-11.414,0,0.119,0.0892,0.00784,0.11,0.481,75.136,148292,4
28,Spoil Der,7t0cq539jLCV4WICqBzB9j,"['Shadowboy Myzic', 'Article Wan']","['2wj0KxszIGEueAwv03LjTf', '303UuPlXQuwuddDcX6Ue4B']",0.781,0.783,4,-11.589,0,0.122,0.0748,0.0,0.291,0.862,103.98,206000,4
29,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,['Mariah Carey'],['4iHNK0tOyZPYnBU7nGAgpQ'],0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
30,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,['Wham!'],['5lpH0xAS4fVfLkACg9DAuM'],0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4
31,abcdefu,4fouWK6XVHhzl78KzQ1UjL,['GAYLE'],['2VSHKHBTiXWplO8lxcnUC9'],0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,168602,4
32,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,"['The Kid LAROI', 'Justin Bieber']","['2tIP7SsRs7vjIcLrU85W8J', '1uNFoZAHBGtllmzznpCI3s']",0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
33,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,['Brenda Lee'],['4cPHsZM98sKzmV26wlwD2W'],0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4
34,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,['Bobby Helms'],['38EmEgXkgK51MT2tPY0EoC'],0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,130973,4
35,Easy On Me,46IZ0fSY2mpAiktS3KOqds,['Adele'],['4dpARuHxo51G3z768sgnrY'],0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4
36,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,['Michael Bublé'],['1GxkXlMwML1oSg5eLPiAz3'],0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,206640,3
37,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,"['Lil Nas X', 'Jack Harlow']","['7jVv8c5Fj3E9VhNjxT4snq', '2LIk90788K0zvyj2JJVwkJ']",0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4
38,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093,4
39,It's the Most Wonderful Time of the Year,1IcR6RlgvDczfvoWJSSY2A,['Andy Williams'],['4sj6D0zlMOl25nprDJBiU9'],0.234,0.526,2,-11.656,1,0.0411,0.871,2.34e-06,0.122,0.649,201.739,151000,3
40,Heat Waves,02MWAaffLxlfxAUY7c5dvx,['Glass Animals'],['4yvcSjfu4PC0CYQyLy4wSq'],0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
41,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']","['53XhwfbYqKCa1cC15pYq2q', '6U3ybJ9UHNKEdsH7ktGBZ7', '57nPqD7z62gDdq37US9XJR', '47mIJdHORyRerp4os813jD']",0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,173381,4
42,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,"['Elton John', 'Dua Lipa', 'PNAU']","['3PhoLpVuITZKcymswpck5b', '6M2wZ9GZgrQXHCFfjv46we', '6n28c9qs9hNGriNa72b26u']",0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4
43,Feliz Navidad,3qCeq0rWK67SoBDgFd2sId,['José Feliciano'],['7K78lVZ8XzkjfRSI7570FF'],0.514,0.818,2,-9.642,1,0.0451,0.406,1.93e-06,0.299,0.967,148.733,182307,4
44,Snowman,7uoFMmxln0GPXQ0AcCBXRq,['Sia'],['5WUlDfRSoLAfcVSX1WnrxN'],0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957,165907,3
45,Pepas,2B4GHvToeLTOBB4QLzW3Ni,['Farruko'],['329e4yvIujISKGKz1BZZbO'],0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
46,Underneath the Tree,3nAp4IvdMPPWEH9uuXFFV5,['Kelly Clarkson'],['3BmGtnKgCSGYIUhmivXKWX'],0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,229640,4
47,Shivers,50nfwKoDiSYg8zOCREWAm5,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
48,Sleigh Ride,7fUYUcWy853HS8YJn0b3Sr,['The Ronettes'],['7CyeXFnOrfC1N6z4naIpgo'],0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,181267,4
49,Mistletoe,7xapw9Oy21WpfEcib2ErSA,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,182947,4
50,Driving Home for Christmas - 2019 Remaster,27qAMKrDdKEs8HDXcvR24R,['Chris Rea'],['5KEG7G8LDYlHgFDqZyEEs2'],0.513,0.583,9,-10.863,1,0.038,0.355,1.96e-05,0.18,0.866,180.183,241627,4
51,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),4kKdvXD0ez7jp1296JmAts,"['Frank Sinatra', 'B. Swanson Quartet']","['1Mxqyy3pSjf8kZZL4QVxS0', '0JXiS2FrAg3wQYJHcmZdrc']",0.652,0.259,2,-13.336,1,0.0595,0.903,0.0,0.362,0.836,142.169,155453,4
52,Merry Christmas,0aoUM0zcu0kCX7Cv7O939I,"['Ed Sheeran', 'Elton John']","['6eUKZXaKkcviH0Ku9w2n3V', '3PhoLpVuITZKcymswpck5b']",0.594,0.935,0,-2.018,1,0.0357,0.243,2.36e-06,0.102,0.602,113.99,208547,4
53,Do It To It,20on25jryn53hWghthWWW3,"['ACRAZE', 'Cherish']","['4pnp4w9g30yLfVIAFnZMRd', '1c70yCa8sRgIiQxl3HOEFo']",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4
54,White Christmas,4so0Wek9Ig1p6CRCHuINwW,"['Bing Crosby', 'Ken Darby Singers', 'John Scott Trotter & His Orchestra']","['6ZjFtWeHP9XN7FeKSUe80S', '69UfPJgUmFFAVT740qGVZi', '735L650pvygCZZlPMyHqsN']",0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3
55,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4
56,Let It Snow! Let It Snow! Let It Snow!,2uFaJJtFpPDc5Pa95XzTvg,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,117147,4
57,Holly Jolly Christmas,6tjituizSxwSmBB5vtgHZE,['Michael Bublé'],['1GxkXlMwML1oSg5eLPiAz3'],0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,119787,4
58,Happy Xmas (War Is Over) - Remastered 2010,27RYrbL6S02LNVhDWVl38b,"['John Lennon', 'Yoko Ono']","['4x1nvY2FN8jxqAFA0DA02H', '2s4tjL6W3qrblOe0raIzwJ']",0.321,0.64,2,-10.023,1,0.0324,0.28,0.0,0.718,0.414,146.172,214333,3
59,Woman,6Uj1ctrBOjOas8xZXGqKk4,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
60,Wonderful Christmastime - Edited Version / Remastered 2011,1SV1fxF65n9NhRHp3KlBuu,['Paul McCartney'],['4STHEaNw4mPZ2tzheohgXB'],0.774,0.511,11,-8.914,1,0.0319,0.322,0.0,0.0672,0.771,94.736,227653,4
61,My Universe,46HNZY1i7O6jwTA7Slo2PI,"['Coldplay', 'BTS']","['4gzpq5DPGxSnKTe4SA8HAU', '3Nrfpe0tUJi4K4DXYWgMUX']",0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,4
62,good 4 u,4ZtFanR9U6ndgddUvNcjcG,['Olivia Rodrigo'],['1McMsnEElThX1knmY4oliG'],0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
63,Merry Christmas Everyone,2TE4xW3ImvpltVU0cPcKUn,"[""Shakin' Stevens""]",['0wi4yTYlGtEnbGo4ltZTib'],0.534,0.904,9,-3.315,1,0.0369,0.129,0.0,0.128,0.96,202.899,220160,4
64,Do They Know It's Christmas? - 1984 Version,0247StOpd3AkeBQzANX4Zf,['Band Aid'],['35S20clEkkSNUo23ViaslZ'],0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,222533,4
65,A Holly Jolly Christmas - Single Version,77khP2fIVhSW23NwxrRluh,['Burl Ives'],['0MHgLfmQdutffmvWe5XBTN'],0.683,0.375,0,-13.056,1,0.0303,0.579,0.0,0.076,0.888,140.467,135533,4
66,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,613027,4
67,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,"['Doja Cat', 'SZA']","['5cj0lLjcoR7YOSnhnX0Po5', '7tYKF4w9nC0nq9CsPZTHyP']",0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4
68,Infinity,1SOClUWhOi8vHZYMz3GluK,['Jaymes Young'],['6QrQ7OrISRYIfS5mtacaw2'],0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720,4
69,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,['Nat King Cole'],['7v4imS0moSyGdXyLgVTIV7'],0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,4
70,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
71,Yonaguni,2JPLbjOn0wPCngEot2STUS,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
72,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,['Lil Nas X'],['7jVv8c5Fj3E9VhNjxT4snq'],0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704,4
73,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,['CKay'],['048LktY5zMnakWq7PTtFrz'],0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4
74,Beggin',3Wrjm47oTz2sjIgck11l5e,['Måneskin'],['0lAWpj5szCSwM4rUMHYmrr'],0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4
75,MONEY,7hU3IHwjX150XLoTVmjD0q,['LISA'],['5L1lO4eRHmJ7a0Q6csE5cT'],0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4
76,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,"['Tainy', 'Bad Bunny', 'Julieta Venegas']","['0GM7qgcRCORpGnfcN2tCiB', '4q3ewBCX7sLwd24euuV69X', '2QWIScpFDNxmS6ZEMIUvgm']",0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,4
77,Toxic,2gQPv5jvVPqU2a9HhMNO1v,['BoyWithUke'],['1Cd373x8qzC7SNUg5IToqp'],0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629,168020,4
78,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
79,Uptown Funk (feat. Bruno Mars),57n3qOwXcoRMyGFjeqC1Rh,"['Mark Ronson', 'Bruno Mars']","['3hv9jJF3adDNsBSIQDqcjp', '0du5cEVh5yTK9QJze8zA0C']",0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
80,I Wanna Dance with Somebody (Who Loves Me),5ifX6jfT33QWKP9DE0YRG8,['Whitney Houston'],['6XpaIBNiVzIetEPCWDvAFP'],0.711,0.807,1,-8.817,1,0.0456,0.206,0.000387,0.0854,0.861,118.819,290427,4
81,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,['Journey'],['0rvjqX7ttXeg3mTy8Xscbt'],0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,250987,4
82,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,['Justin Timberlake'],['31TPClRtHm23RisEBtV3X7'],0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,236002,4
83,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,['WALK THE MOON'],['6DIS6PRrLS3wbnZsf7vYic'],0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
84,Sweet Caroline,5akBpqWmFWEHoBGRIrR5aK,['Neil Diamond'],['7mEIug7XUlQHikrFxjTWes'],0.525,0.131,11,-15.937,1,0.0281,0.623,0.000145,0.254,0.616,63.071,203573,4
85,Cupid Shuffle,07Tx168RSsUS1HqkDIOZbH,['Cupid'],['0lax1ZgWclW6mZFaGu27MM'],0.785,0.582,5,-4.877,0,0.237,0.191,0.0,0.2,0.861,71.774,231360,4
86,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
87,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,"['Usher', 'Lil Jon', 'Ludacris']","['23zg3TcAtWQy7J6upgbUnj', '7sfl4Xt5KmfyDs2T3SVSMK', '3ipn9JLAPI5GUEo4y4jcoi']",0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,250373,4
88,Wobble,6JLcz9UGiVxAmEZXlCucn5,['V.I.C.'],['49mHZzhcsoQB1JXWv8Q9gU'],0.855,0.746,3,-3.777,0,0.232,0.402,0.0,0.146,0.375,95.026,321987,4
89,Cha Cha Slide,5xM801uXVrqhUb0PzeSLvJ,['Mr. C'],['4KKEvADkhfVx3BpYJyezZr'],0.854,0.903,11,-6.821,0,0.147,0.0423,0.00576,0.316,0.814,131.02,222080,4
90,I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,['Black Eyed Peas'],['1yxSLGMDHlW21z4YXirZDS'],0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,4
91,Happy,6NPVjNh8Jhru9xOmyQigds,['Pharrell Williams'],['2RdwBSPQiwcmiDo9kixcl8'],0.652,0.757,1,-6.819,1,0.153,0.286,0.0,0.0886,0.962,159.911,233305,4
92,Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,249293,4
93,Marry You,22PMfvdz35fFKYnJyMn077,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905,230192,4
94,September,5nNmj1cLH3r4aA4XDJ2bgY,"['Earth, Wind & Fire']",['4QQgXkCYTt3BlENzhyNETg'],0.697,0.809,9,-8.197,1,0.0302,0.114,0.000521,0.183,0.98,125.941,214827,4
95,24K Magic,6b8Be6ljOzmkOmFslEb23P,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4
96,Brown Eyed Girl,4myBMnNWZlgvVelYeTu55w,['Van Morrison'],['44NX2ffIYHr6D4n7RaZF7A'],0.478,0.678,7,-7.032,1,0.0364,0.29,0.0,0.577,0.892,151.466,182960,4
97,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']","['4V8Sr092TqfHkfAA5fXXqG', '4VMYDCV2IEDYJArk749S6m', '1uNFoZAHBGtllmzznpCI3s']",0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,228827,4
98,Love Shack,4W4wYHtsrgDiivRASVOINL,"[""The B-52's""]",['3gdbcIdNypBsYNu3iiCjtN'],0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680,4
99,Hey Ya!,3AszgPDZd9q0DpDFt4HFBy,['Outkast'],['1G9G7WwrXka3Z1r7aIDjI7'],0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,239240,4
100,Everybody (Backstreet's Back) - Extended Version,5WTxbyWTpoqhdxEN2szOnl,['Backstreet Boys'],['5rSXSAkZ67PYJSvpUpkOr7'],0.792,0.81,10,-5.198,0,0.0368,0.00609,0.000153,0.224,0.509,108.054,287293,4
101,We Found Love,1bLG2x4ePXBr6TXFBOmXRk,"['Rihanna', 'Calvin Harris']","['5pKCCKE2ajJHZ9KAiaK11H', '7CajNmpbOovFoOoasH2HaY']",0.744,0.741,1,-4.981,1,0.0572,0.0271,0.00256,0.0928,0.562,128.023,215760,4
102,All of Me,3U4isOIWM3VvDubwSI3y7a,['John Legend'],['5y2Xq6xcjJb2jVM54GHK3t'],0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4
103,You Shook Me All Night Long,4WbJfIsqn6Zfn2OCT4aacB,['Back In Black'],['7D7R9UL0A4ngSASP5yW9ZQ'],0.502,0.797,7,-5.123,1,0.0611,0.00227,2.38e-05,0.375,0.857,127.285,210336,4
104,Twist And Shout - Remastered 2009,5ZBeML7Lf3FMEVviTyvi8l,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227,4
105,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,['Spice Girls'],['0uq5PttqEjj3IH1bzwcrXF'],0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,173027,4
106,Can't Help Falling In Love,4hAUynwghvrqDXs1ejKNEq,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],0.438,0.325,2,-11.066,1,0.0268,0.893,5e-06,0.107,0.362,101.577,177840,3
